2016-01-12 10:16:57,40:a5:ef:06:19:a0,-73
2016-01-12 10:16:57,40:a5:ef:06:19:a0,-73
2016-01-12 10:16:59,40:a5:ef:06:1f:2f,-55
2016-01-12 10:16:59,40:a5:ef:06:1f:2f,-63
2016-01-12 10:17:00,40:a5:ef:06:19:a0,-65
2016-01-12 10:17:00,40:a5:ef:06:19:a0,-67
2016-01-12 10:17:02,40:a5:ef:06:1f:2f,-55
2016-01-12 10:17:02,40:a5:ef:06:1f:2f,-61
2016-01-12 10:17:03,40:a5:ef:06:1c:ba,-65
2016-01-12 10:17:05,40:a5:ef:06:13:e3,-73
2016-01-12 10:17:06,40:a5:ef:06:19:a0,-67
2016-01-12 10:17:07,40:a5:ef:06:1f:2f,-53
2016-01-12 10:17:07,40:a5:ef:06:1f:2f,-57
2016-01-12 10:17:09,40:a5:ef:06:1c:ba,-55
2016-01-12 10:17:11,40:a5:ef:06:13:e3,-69
2016-01-12 10:17:11,40:a5:ef:06:13:e3,-67
2016-01-12 10:17:12,40:a5:ef:06:19:a0,-63
2016-01-12 10:17:13,40:a5:ef:06:1f:2f,-61
2016-01-12 10:17:14,40:a5:ef:06:1c:ba,-63
2016-01-12 10:17:16,40:a5:ef:06:13:e3,-69
2016-01-12 10:17:16,40:a5:ef:06:13:e3,-73
2016-01-12 10:17:17,40:a5:ef:06:19:a0,-63
2016-01-12 10:17:20,40:a5:ef:06:1c:ba,-57
2016-01-12 10:17:20,40:a5:ef:06:1c:ba,-55
2016-01-12 10:17:22,40:a5:ef:06:13:e3,-65
2016-01-12 10:17:23,40:a5:ef:06:19:a0,-63
2016-01-12 10:17:25,40:a5:ef:06:1f:2f,-63
2016-01-12 10:17:27,40:a5:ef:06:13:e3,-69
2016-01-12 10:17:29,40:a5:ef:06:19:a0,-63
2016-01-12 10:17:33,40:a5:ef:06:1f:2f,-73
2016-01-12 10:17:33,40:a5:ef:06:1c:ba,-59
2016-01-12 10:17:34,40:a5:ef:06:13:e3,-65
2016-01-12 10:17:35,40:a5:ef:06:19:a0,-67
2016-01-12 10:17:35,40:a5:ef:06:19:a0,-69
2016-01-12 10:17:36,40:a5:ef:06:1f:2f,-61
2016-01-12 10:17:38,40:a5:ef:06:1c:ba,-59
2016-01-12 10:17:38,40:a5:ef:06:1c:ba,-61
2016-01-12 10:17:39,40:a5:ef:06:13:e3,-67
2016-01-12 10:17:39,40:a5:ef:06:13:e3,-69
2016-01-12 10:17:40,40:a5:ef:06:19:a0,-65
2016-01-12 10:17:42,40:a5:ef:06:1f:2f,-63
2016-01-12 10:17:44,40:a5:ef:06:1c:ba,-63
2016-01-12 10:17:44,40:a5:ef:06:1c:ba,-65
2016-01-12 10:17:45,40:a5:ef:06:13:e3,-71
2016-01-12 10:17:46,40:a5:ef:06:19:a0,-69
2016-01-12 10:17:46,40:a5:ef:06:19:a0,-65
2016-01-12 10:17:48,40:a5:ef:06:1f:2f,-61
2016-01-12 10:17:49,40:a5:ef:06:1c:ba,-55
2016-01-12 10:17:51,40:a5:ef:06:13:e3,-71
2016-01-12 10:17:51,40:a5:ef:06:13:e3,-71
2016-01-12 10:17:52,40:a5:ef:06:19:a0,-69
2016-01-12 10:17:52,40:a5:ef:06:19:a0,-63
